Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Condition,Measure ID,Measure Name,STTag,Score,Sample,Footnote,Measure Start Date,Measure End Date,Location
24003F,MINNEAPOLIS VA MEDICAL CENTER,ONE VETERANS DRIVE,MINNEAPOLIS,MN,55417,HENNEPIN,6127252000,Heart Attack or Chest Pain,OP-5,Median Time to ECG,Minutes,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"ONE VETERANS DRIVE MINNEAPOLIS, MN"
24003F,MINNEAPOLIS VA MEDICAL CENTER,ONE VETERANS DRIVE,MINNEAPOLIS,MN,55417,HENNEPIN,6127252000,Emergency Department,OP-18b,Median time from ED arrival to ED departure for discharged ED patients,Minutes,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"ONE VETERANS DRIVE MINNEAPOLIS, MN"
24003F,MINNEAPOLIS VA MEDICAL CENTER,ONE VETERANS DRIVE,MINNEAPOLIS,MN,55417,HENNEPIN,6127252000,Emergency Department,OP-20,Door to diagnostic eval,Minutes,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"ONE VETERANS DRIVE MINNEAPOLIS, MN"
24003F,MINNEAPOLIS VA MEDICAL CENTER,ONE VETERANS DRIVE,MINNEAPOLIS,MN,55417,HENNEPIN,6127252000,Emergency Department,OP-21,Median time to pain med,Minutes,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"ONE VETERANS DRIVE MINNEAPOLIS, MN"
24003F,MINNEAPOLIS VA MEDICAL CENTER,ONE VETERANS DRIVE,MINNEAPOLIS,MN,55417,HENNEPIN,6127252000,Emergency Department,OP-23,Head CT results,Percentage,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"ONE VETERANS DRIVE MINNEAPOLIS, MN"
24003F,MINNEAPOLIS VA MEDICAL CENTER,ONE VETERANS DRIVE,MINNEAPOLIS,MN,55417,HENNEPIN,6127252000,Blood Clot Prevention and Treatment,VTE-6,Hospital acquired potentially preventable venous thromboembolism,Percentage,18,17,,01/01/2017,12/31/2017,"ONE VETERANS DRIVE MINNEAPOLIS, MN"
26004F,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,KANSAS CITY,MO,64128,JACKSON,8168614700,Emergency Department,ED-1b,Median time from ED arrival to ED departure for admitted ED patients,Minutes,282,646,2 - Data submitted were based on a sample of cases/patients.,01/01/2017,12/31/2017,"4801 LINWOOD BLVD. KANSAS CITY, MO"
26004F,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,KANSAS CITY,MO,64128,JACKSON,8168614700,Emergency Department,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients,Minutes,208,646,2 - Data submitted were based on a sample of cases/patients.,01/01/2017,12/31/2017,"4801 LINWOOD BLVD. KANSAS CITY, MO"
26004F,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,KANSAS CITY,MO,64128,JACKSON,8168614700,Preventive Care,IMM-2,Patients assessed and given influenza vaccination,Percentage,84,538,2 - Data submitted were based on a sample of cases/patients.,10/01/2016,03/31/2017,"4801 LINWOOD BLVD. KANSAS CITY, MO"
26004F,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,KANSAS CITY,MO,64128,JACKSON,8168614700,Heart Attack or Chest Pain,OP-1,Median Time to Fibrinolysis,Minutes,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"4801 LINWOOD BLVD. KANSAS CITY, MO"
26004F,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,KANSAS CITY,MO,64128,JACKSON,8168614700,Heart Attack or Chest Pain,OP-2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Percentage,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"4801 LINWOOD BLVD. KANSAS CITY, MO"
26004F,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,KANSAS CITY,MO,64128,JACKSON,8168614700,Heart Attack or Chest Pain,OP-3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Minutes,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"4801 LINWOOD BLVD. KANSAS CITY, MO"
26004F,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,KANSAS CITY,MO,64128,JACKSON,8168614700,Heart Attack or Chest Pain,OP-4,Aspirin at Arrival,Percentage,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"4801 LINWOOD BLVD. KANSAS CITY, MO"
26004F,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,KANSAS CITY,MO,64128,JACKSON,8168614700,Heart Attack or Chest Pain,OP-5,Median Time to ECG,Minutes,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"4801 LINWOOD BLVD. KANSAS CITY, MO"
26004F,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,KANSAS CITY,MO,64128,JACKSON,8168614700,Emergency Department,OP-18b,Median time from ED arrival to ED departure for discharged ED patients,Minutes,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"4801 LINWOOD BLVD. KANSAS CITY, MO"
26004F,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,KANSAS CITY,MO,64128,JACKSON,8168614700,Emergency Department,OP-20,Door to diagnostic eval,Minutes,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"4801 LINWOOD BLVD. KANSAS CITY, MO"
26004F,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,KANSAS CITY,MO,64128,JACKSON,8168614700,Emergency Department,OP-21,Median time to pain med,Minutes,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"4801 LINWOOD BLVD. KANSAS CITY, MO"
26004F,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,KANSAS CITY,MO,64128,JACKSON,8168614700,Emergency Department,OP-23,Head CT results,Percentage,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"4801 LINWOOD BLVD. KANSAS CITY, MO"
26004F,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,KANSAS CITY,MO,64128,JACKSON,8168614700,Blood Clot Prevention and Treatment,VTE-6,Hospital acquired potentially preventable venous thromboembolism,Percentage,Not Available,2,1 - The number of cases/patients is too few to report.,01/01/2017,12/31/2017,"4801 LINWOOD BLVD. KANSAS CITY, MO"
39012F,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PITTSBURGH,PA,15240,ALLEGHENY,4126886100,Emergency Department,ED-1b,Median time from ED arrival to ED departure for admitted ED patients,Minutes,271,420,2 - Data submitted were based on a sample of cases/patients.,01/01/2017,12/31/2017,"UNIVERSITY DRIVE PITTSBURGH, PA"
39012F,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PITTSBURGH,PA,15240,ALLEGHENY,4126886100,Emergency Department,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients,Minutes,189,420,2 - Data submitted were based on a sample of cases/patients.,01/01/2017,12/31/2017,"UNIVERSITY DRIVE PITTSBURGH, PA"
39012F,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PITTSBURGH,PA,15240,ALLEGHENY,4126886100,Preventive Care,IMM-2,Patients assessed and given influenza vaccination,Percentage,71,596,2 - Data submitted were based on a sample of cases/patients.,10/01/2016,03/31/2017,"UNIVERSITY DRIVE PITTSBURGH, PA"
39012F,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PITTSBURGH,PA,15240,ALLEGHENY,4126886100,Heart Attack or Chest Pain,OP-1,Median Time to Fibrinolysis,Minutes,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"UNIVERSITY DRIVE PITTSBURGH, PA"
39012F,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PITTSBURGH,PA,15240,ALLEGHENY,4126886100,Heart Attack or Chest Pain,OP-2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Percentage,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"UNIVERSITY DRIVE PITTSBURGH, PA"
39012F,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PITTSBURGH,PA,15240,ALLEGHENY,4126886100,Heart Attack or Chest Pain,OP-3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Minutes,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"UNIVERSITY DRIVE PITTSBURGH, PA"
39012F,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PITTSBURGH,PA,15240,ALLEGHENY,4126886100,Heart Attack or Chest Pain,OP-4,Aspirin at Arrival,Percentage,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"UNIVERSITY DRIVE PITTSBURGH, PA"
39012F,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PITTSBURGH,PA,15240,ALLEGHENY,4126886100,Heart Attack or Chest Pain,OP-5,Median Time to ECG,Minutes,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"UNIVERSITY DRIVE PITTSBURGH, PA"
39012F,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PITTSBURGH,PA,15240,ALLEGHENY,4126886100,Emergency Department,OP-18b,Median time from ED arrival to ED departure for discharged ED patients,Minutes,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"UNIVERSITY DRIVE PITTSBURGH, PA"
39012F,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PITTSBURGH,PA,15240,ALLEGHENY,4126886100,Emergency Department,OP-20,Door to diagnostic eval,Minutes,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"UNIVERSITY DRIVE PITTSBURGH, PA"
39012F,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PITTSBURGH,PA,15240,ALLEGHENY,4126886100,Emergency Department,OP-21,Median time to pain med,Minutes,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"UNIVERSITY DRIVE PITTSBURGH, PA"
39012F,VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR,UNIVERSITY DRIVE,PITTSBURGH,PA,15240,ALLEGHENY,4126886100,Emergency Department,OP-23,Head CT results,Percentage,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"UNIVERSITY DRIVE PITTSBURGH, PA"
